,Course Code,Course Name,2020 Round 1,2020 Round 2
141,CK705,Speech and Language Therapy,520,
142,CK706,Public Health Sciences,454,
143,CK707,Medical and Health Sciences,542,541
144,CK710,General Nursing,454,
145,CK712,Children`s and General Nursing (Integrated),533,
146,CK720,Mental Health Nursing,423,
147,CK730,Intellectual Disability Nursing,419,411
148,CK740,Midwifery,484,
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57,
150,CM001,Education - Primary Teaching,484,
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,,
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,
154,CM010,Education Studies,319,
155,CM020,Early Childhood Education,327,
156,CR001,Applied Physics and Instrumentation,250,
157,CR006,Applied Biosciences,361,
158,CR007,Analytical and Pharmaceutical Chemistry,240,
159,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,
160,CR016,Software Development,307,
161,CR021,Business (Common Entry),255,
162,CR022,Business Administration,190,
163,CR031,Social Care Work,346,
164,CR032,Recreation and Leisure Management,298,
165,CR035,Community Development,100,
166,CR041,Tourism Management,216,
167,CR042,Hospitality Management,208,
168,CR046,Automotive Technology and Management,216,
169,CR051,Civil Engineering,248,
170,CR052,Construction,251,
171,CR053,Interior Architecture,308,
172,CR055,Environmental Engineering,258,
173,CR061,Electronic Engineering,260,
174,CR062,Electrical Engineering,300,
175,CR071,Mechanical Engineering,261,
176,CR075,Biomedical Engineering,306,
177,CR090,Architectural Technology,266,
178,CR094,Nautical Science at National Maritime College of Ireland,243,
179,CR095,Marine Engineering at National Maritime College of Ireland,255,
180,CR105,Chemical and Biopharmaceutical Engineering,443,
181,CR106,Software Development,411,
182,CR108,Mechanical Engineering,434,
183,CR109,Structural Engineering,394,
184,CR110,Automotive Business Management and Technology,311,
185,CR112,Creative Digital Media,361,
186,CR116,Computer Systems,332,
187,CR121,Music at CIT Cork School of Music,868,
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,
189,CR126,Popular Music: Drums at CIT Cork School of Music,801,
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840,
192,CR129,Popular Music: Voice at CIT Cork School of Music,841,
193,CR130,Musical Theatre at CIT Cork School of Music,548,518
194,CR150,Business Information Systems,335,
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,
196,CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,
197,CR225,Photography with New Media,#+matric,
198,CR300,Physical Sciences (Common Entry),282,
199,CR305,Physical Sciences (Common Entry),282,
200,CR310,IT Management,297,
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565,
202,CR325,Pharmaceutical Biotechnology,398,
203,CR333,Nutrition and Health Science,402,
204,CR335,Biological Sciences (Common Entry),420,
205,CR340,Analytical Chemistry with Quality Assurance,251,
206,CR360,Instrument Engineering,261,
207,CR365,Environmental Science and Sustainable Technology,253,
208,CR370,Agri-Biosciences,397,
209,CR400,Accounting,316,
210,CR420,Marketing,285,
211,CR425,International Business with Language,298,
212,CR430,Sport and Exercise Management,322,
213,CR440,Montessori Education,288,
214,CR500,Engineering (Common Entry),411,
215,CR510,Sustainable Energy Engineering,320,
216,CR520,Biomedical Engineering,444,
217,CR560,Architectural Technology,308,
218,CR565,Interior Architecture,359,
219,CR570,Quantity Surveying,336,
220,CR572,Construction Management,269,
221,CR580,Electrical Engineering,318,
222,CR590,Electronic Engineering,303,
223,CR600,Visual Communications,#+matric,
224,CR620,Early Childhood Education and Care,365,357
225,CR640,Culinary Arts,244,
226,CR650,Beverage Industry Management,209,
227,CR655,Culinary Studies,189,
228,CR657,Hospitality Studies,180,163
229,CR660,Tourism Management,252,
230,CR700,Theatre and Drama Studies at CIT Cork School of Music,740,645
231,CR805,Marine Electrotechnology at National Maritime College of Ireland,235,
232,CR888,Information Technology,290,
233,CT110,Computing in Information Technology,210,
234,CT116,Information Technology,219,
235,CT125,Information Technology,220,
236,CT325,Business,338,
237,CW006,Business,AQA,AQA
238,CW018,Business (options),298,248
239,CW027,Sustainable Farm Management and Agribusiness,266,
240,CW028,Early Childhood Education and Care,252,
241,CW037,Business (options),195,
242,CW038,Art (portfolio),700,
243,CW047,Visual Communications and Design,214,181
244,CW057,Art (portfolio),700,
245,CW058,Tourism and Event Management,298,
246,CW068,Applied Social Studies in Professional Social Care,245,
247,CW077,Tourism and Event Management,217,
248,CW078,Sustainable Farm Management and Agribusiness,269,
249,CW088,Visual Communications and Design,274,
250,CW106,Physiology and Health Science,451,
251,CW107,Analytical Science,277,
252,CW108,Science (options),261,
253,CW116,Pharmacy Technician Studies,250,
254,CW117,Biosciences,205,
255,CW126,Science - Applied Biology or Applied Chemistry,191,
256,CW128,Brewing and Distilling,263,
257,CW138,Sport and Exercise Science,423,
258,CW148,Strength and Conditioning,379,
259,CW188,Sport Rehabilitation and Athletic Therapy,451,448
260,CW206,Computing - Applications or Programming,235,
261,CW207,Software Development,244,
262,CW208,Computer Games Development,279,
263,CW217,Information Technology Management,234,
264,CW227,Cybercrime and IT Security,233,
265,CW237,Computing in Interactive Digital Art and Design,212,
266,CW238,Software Development,297,
267,CW248,Information Technology Management,285,
268,CW258,Cybercrime and IT Security,293,
269,CW268,Computing in Interactive Digital Art and Design,287,
270,CW407,Architectural Technology,188,
271,CW417,Construction Management with Building Services,220,
272,CW427,Civil Engineering,199,
273,CW438,Construction (options),272,
274,CW468,Architectural Technology,262,
275,CW478,Civil Engineering,433,
276,CW507,Aircraft Systems,293,
277,CW517,Mechanical Engineering,276,
278,CW527,Electronic Engineering,227,
279,CW547,TV and Media Production,301,
280,CW548,Mechanical Engineering,321,
281,CW558,Electronic Systems,280,
282,CW568,Aerospace Engineering,380,
283,CW578,TV and Media Production,325,
284,CW706,Legal Studies,163,
285,CW707,Industrial Design,207,
286,CW708,Law - LLB,302,
287,CW717,Professional Social Care Practice,288,
288,CW728,Product Design Innovation,252,
289,CW748,Early Childhood Education and Care,270,
290,CW758,Professional Social Care Practice,336,
291,CW807,Sport Coaching and Business Management - GAA (portfolio),700,
292,CW808,Media and Public Relations,251,
293,CW817,Sport Coaching and Business Management - Rugby (portfolio),700,
294,CW827,Sport Coaching and Business Management - Soccer (portfolio),700,
295,CW837,Digital Marketing with Analytics,200,
296,CW848,Digital Marketing with Analytics,254,
297,CW858,"Sports Management and Coaching (options, portfolio)",700,
298,CW906,Business,177,
299,CW908,Business (options),280,
300,CW917,Business (options),224,
301,CW926,Business with Law,210,
302,CW936,Accounting,231,
303,CW938,Business with Law,283,
304,CW948,Accounting,300,
305,DB500,Computing,218,218
306,DB501,Computing (Cloud Computing),227,227
307,DB502,Computing (Data Analytics and Big Data),341,341
308,DB503,Computing (Software Development),225,225
309,DB504,Computing (Web and Mobile Technology),,281
310,DB510,Audio Production and Music Project Management,234,223
311,DB512,Business Studies,218,203
312,DB514,Business Studies (Law),252,
313,DB515,Business Studies (Human Resource Management),244,244
314,DB516,Financial Services,,
315,DB517,Marketing (Event Management),238,
316,DB521,Accounting and Finance,225,195
317,DB524,Business (Information Systems),342,309
318,DB526,Business (Cloud Computing),347,
319,DB527,Applied Social Care,234,260
320,DB528,Applied Social Care,AQA,AQA
321,DB531,Marketing,293,
322,DB534,Sound Engineering and Music Production,AQA,AQA
323,DB562,Psychology,243,229
324,DB563,Arts,161,189
325,DB566,Social Science,220,227
326,DB567,Film and Creative Media,218,202
327,DB568,Law,219,252
328,DB569,Business (Psychology),252,
329,DB571,Business Studies,173,211
330,DB572,Business in Accounting,119,117
331,DB573,Business in Marketing,117,146
332,DB574,Business in Information Technology,136,388
333,DB576,Film and Creative Media,AQA,AQA
334,DC001,Education - Early Childhood Education,440,
335,DC002,Education - Primary Teaching,488,
336,DC003,Education - Primary Teaching - Gaeltacht Applicants,445,
337,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411,409
338,DC009,Arts (Joint Honours) - Humanities,376,
339,DC010,Post Primary Teacher Education - Religious Education and English,441,429
340,DC011,Post Primary Teacher Education - Religious Education and History,412,391
341,DC012,Post Primary Teacher Education - Religious Education and Music,378,
342,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,
343,DC014,BA in Jazz and Contemporary Music Performance (audition),419,
344,DC110,Business Studies International,465,
345,DC111,Business Studies,488,
346,DC112,Global Business (France),517,510
347,DC113,Global Business (Germany),462,
348,DC114,Global Business (Spain),522,
349,DC115,Accounting and Finance,510,
350,DC116,Global Business (USA),579,
351,DC117,Aviation Management / Aviation Management with Pilot Studies,476,475
352,DC118,Gnó agus Gaeilge / Business and Irish,359,
353,DC119,Global Business (Canada),564,
354,DC120,Enterprise Computing,357,
355,DC121,Computer Applications,400,
356,DC123,Data Science,465,
357,DC126,Actuarial Mathematics,560,
358,DC127,Common Entry into Actuarial and Financial Mathematics,532,520
359,DC131,Communication Studies,407,402
360,DC132,Journalism,429,422
361,DC133,Multimedia,411,410
362,DC155,Applied Language and Translation Studies,387,
363,DC161,Analytical Science,498,489
364,DC162,Chemical and Pharmaceutical Sciences,521,
365,DC166,Environmental Science and Technology,433,399
366,DC168,Genetics and Cell Biology,512,510
367,DC175,Physics General Entry (options),419,402
368,DC181,Biotechnology,499,495
369,DC190,Electronic and Computer Engineering (with choice of four majors),413,
370,DC193,Mechatronic Engineering,411,
371,DC195,Mechanical and Manufacturing Engineering,425,
372,DC197,Biomedical Engineering,423,
373,DC200,Common Entry into Engineering (Undenominated Entry),422,
374,DC201,Common Entry into Science (Undenominated Entry),498,488
375,DC202,Sport Science and Health,500,498
376,DC203,Science Education,435,
377,DC204,Athletic Therapy and Training,522,519
378,DC205,Physical Education with Biology,531,
379,DC206,Physical Education with Mathematics,499,
380,DC208,Psychology,532,521
381,DC209,Health and Society,465,440
382,DC215,General Nursing,454,433
383,DC216,Mental Health Nursing,418,403
384,DC217,Intellectual Disability Nursing,370,
385,DC218,Children`s and General Nursing (Integrated),500,498
386,DC230,"Economics, Politics and Law",435,
387,DC231,International Relations,397,
388,DC232,Law and Society (BCL),466,
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,
390,DC238,Social Sciences and Cultural Innovation,377,
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,
392,DC240,"Marketing, Innovation and Technology",476,474
393,DC291,Arts (Joint Honours) - Media Studies,376,
394,DC292,Arts (Joint Honours) - Law,403,
395,DC293,Arts (Joint Honours) - International Languages,377,
396,DC295,Arts (Joint Honours) - Politics,376,
397,DK710,Business and Management,120,120
398,DK711,Business and Technology,191,
399,DK712,Digital Marketing and Public Relations,100,100
400,DK721,Computing,106,106
401,DK722,Augmented and Virtual Reality,144,144
402,DK730,Building Surveying,165,
403,DK731,Architectural Technology,332,
404,DK732,Construction Management,120,
405,DK740,Engineering - Electrical and Electronic Systems,179,179
406,DK742,Engineering - Mechanical Engineering,166,166
407,DK744,Engineering - Civil Engineering,190,157
408,DK750,Hospitality Management,176,176
409,DK752,Event Management,175,175
410,DK753,Culinary Arts,182,182
411,DK763,"Sport, Exercise and Enterprise",233,
412,DK767,Community Youth Work (interview),240,240
413,DK768,Audio and Music Production,261,
414,DK769,Creative Media,165,165
415,DK770,Theatre & Film Practice,190,190
416,DK771,Musical Theatre (audition),,
417,DK781,Science - Bioscience,358,328
418,DK783,Science - Pharmaceutical Science,349,317
419,DK784,Veterinary Nursing,399,
420,DK810,Accounting and Finance,305,305
421,DK816,Business Studies,300,300
422,DK820,Computing in Games Development,311,311
423,DK821,Computing in Software Development,302,302
424,DK822,Augmented and Virtual Reality,307,
425,DK830,Building Surveying,336,
426,DK831,Architectural Technology,389,
427,DK832,Construction Management,387,
428,DK843,Engineering (Common Entry),340,340
429,DK844,Mechanical Engineering,305,305
430,DK845,Electrical & Electronic Engineering,304,304
431,DK846,Civil Engineering,391,361
432,DK850,International Tourism Management,317,317
433,DK860,Music (audition),532,532
434,DK861,Arts,302,302
435,DK862,Social Care,301,
436,DK863,Creative Media,308,308
437,DK864,Film and Television Production,300,300
438,DK865,Audio and Music Production,301,
439,DK870,General Nursing,403,401
440,DK872,Intellectual Disability Nursing,336,
441,DK874,Mental Health Nursing,356,
442,DK876,Early Childhood Studies,321,
443,DK877,Midwifery,440,
444,DK880,Health and Physical Activity,328,
445,DK882,Agriculture (Award options),310,
446,DK883,Science (Award options),358,321
447,DK884,Sustainable Agriculture,,
448,DK885,Agri-Food Production,,
449,DK886,Biopharmaceutical Science,301,
450,DK887,Environmental Science,330,
451,DL701,Business - Applied Entrepreneurship,AQA,AQA
452,DL821,"English, Media and Cultural Studies",212,212
453,DL822,Arts Management,229,229
454,DL823,Business Management,235,
455,DL825,Applied Psychology,379,
456,DL826,Visual Communication Design,855,
457,DL827,Art,572,
458,DL828,"3D Design, Modelmaking and Digital Art",506,
459,DL829,Design for Stage and Screen (Costume Design),593,
460,DL830,Design for Stage and Screen (Character Makeup Design),939,
461,DL831,Design for Stage and Screen (Production Design),781,
462,DL832,Animation,920,
463,DL833,Photography,650,
464,DL834,Film and Television Production,990,
465,DL836,Creative Computing,219,
466,DL837,New Media Studies,201,
467,DL838,Creative Music Production,754,
468,DL839,Interaction and User Experience Design,683,683
469,DL840,Digital Marketing,228,228
470,DL841,English and Equality Studies,276,
471,DN100,Architecture,510,
472,DN120,Landscape Architecture,407,
473,DN130,City Planning and Environmental Policy,407,400
474,DN150,Engineering (Common Entry),531,521
475,DN200,Science (options),533,
476,DN201,Computer Science (Common Entry),510,
477,DN230,Actuarial and Financial Studies,601,
478,DN240,Sustainability,440,
479,DN250,Agricultural Science (options),456,455
480,DN252,Dairy Business,410,
481,DN253,Agri - Environmental Sciences,418,
482,DN261,Food Science,477,
483,DN262,Human Nutrition,531,
484,DN271,Forestry,311,
485,DN272,"Horticulture, Landscape and Sportsturf Management",297,282
486,DN300,Veterinary Medicine - Undergraduate Entry,589,
487,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,
488,DN310,Veterinary Nursing,478,477
489,DN400,Medicine - Undergraduate Entry (HPAT required),737,736
490,DN401,Medicine - Graduate Entry (GAMSAT required),,
491,DN410,Radiography,534,532
492,DN411,Radiography - Graduate Entry,,
493,DN420,Physiotherapy,578,577
494,DN425,Health and Performance Science,510,509
495,DN430,Sport and Exercise Management,455,445
496,DN440,"Biomedical, Health and Life Sciences",590,589
497,DN450,General Nursing,429,424
498,DN451,Children`s and General Nursing (Integrated),509,506
499,DN452,Midwifery,489,476
500,DN453,Mental Health Nursing,397,393
501,DN520,Joint Honours (options),310,
502,DN530,Humanities (options),340,336
503,DN541,Modern Languages (options),303,
504,DN600,Law (options),546,544
505,DN610,Business and Law,545,
506,DN650,Commerce,521,521
507,DN660,Commerce International (options),517,511
508,DN670,Economics and Finance,613,
509,DN700,Social Sciences (options),421,419
510,DN710,Economics,498,498
511,DN720,Psychology,530,522
512,DN750,Social Policy and Sociology,378,
513,DS602,Computing and Multimedia (Level 6 - Higher Certificate),,
514,DS603,Computing and Multimedia (Level 6 - Certificate),,
515,DS701,Business,,
516,DS702,Computing and Multimedia (Level 7),,
517,GA160,Business,163,163
518,GA170,Business,250,
519,GA171,Business Information Systems,250,
520,GA172,Rural Enterprise and Agri-Business,277,
521,GA174,Marketing and Sales,281,
522,GA175,Finance,278,
523,GA176,Business with Entrepreneurship,278,
524,GA181,Accounting,309,
525,GA182,Business,287,
526,GA183,Business Information Systems,296,
527,GA184,Marketing and Sales,307,
528,GA185,Finance and Economics,293,
529,GA186,Business with Entrepreneurship,280,
530,GA187,Rural Enterprise and Agri-Business,281,
531,GA272,Heritage Studies,188,188
532,GA273,Contemporary Art,702,
533,GA274,Design,251,
534,GA281,Film and Documentary,304,
535,GA282,Heritage Studies,220,
536,GA283,Contemporary Art,679,
537,GA284,Design,303,
538,GA285,"Education (Art, Design and Graphics)",,
539,GA360,Business in Tourism,172,172
540,GA361,Culinary Arts,193,
541,GA362,Hotel and Hospitality Operations,240,228
542,GA364,Heritage Studies,252,252
543,GA370,Hotel and Catering Management,198,
544,GA376,Event Management with Public Relations,206,187
545,GA377,International Tourism Management,172,
546,GA378,Culinary and Gastronomic Science,219,
547,GA380,International Hotel Management,242,
548,GA381,International Tourism Management,278,
549,GA382,Culinary and Gastronomic Science,206,
550,GA384,Event Management with Public Relations,212,
551,GA470,Construction Management,244,243
552,GA471,Quantity Surveying and Construction Economics,200,
553,GA472,Architectural Technology,226,
554,GA473,Civil Engineering,241,
555,GA480,Construction Management,260,
556,GA482,Quantity Surveying and Construction Economics,288,
557,GA483,Architectural Technology,265,
558,GA484,Civil Engineering,290,
559,GA570,Software and Electronic Engineering,224,
560,GA580,Software and Electronic Engineering,300,
561,GA670,Mechanical Engineering,265,
562,GA673,Energy Engineering,260,
563,GA674,Biomedical Engineering,298,
564,GA675,Agricultural Engineering,298,
565,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,
566,GA677,Manufacturing Engineering Design,235,
567,GA680,Mechanical Engineering,330,
568,GA681,Energy Engineering,293,
569,GA682,Biomedical Engineering,313,
570,GA683,Agricultural Engineering,309,
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,
572,GA685,Manufacturing Engineering Design,309,
573,GA770,Applied Freshwater and Marine Biology,280,
574,GA771,Applied Biology and Biopharmaceutical Science,280,
575,GA772,Chemical and Pharmaceutical Science,280,
576,GA773,Physics and Instrumentation,299,
577,GA774,Science (Undenominated),289,
578,GA775,Computing in Software Development,260,
579,GA776,Computing and Digital Media,241,
580,GA777,Agriculture and Environmental Management,281,
581,GA780,Applied Freshwater and Marine Biology,327,
582,GA781,Applied Biology and Biopharmaceutical Science,337,
583,GA782,Chemical and Pharmaceutical Science,336,
584,GA783,Physics and Instrumentation,363,
585,GA784,Science (Undenominated),372,
586,GA785,Medical Science,473,
587,GA786,Forensic Science and Analysis,317,
588,GA787,Computing in Software Development,270,
589,GA788,Computing and Digital Media,274,
590,GA789,Agriculture and Environmental Management,287,
591,GA790,Sport and Exercise Science,356,
592,GA791,Public Health Nutrition,368,
593,GA862,History & Geography,178,
594,GA864,Early Childhood Education and Care,214,204
595,GA870,Outdoor Education and Leisure,182,171
596,GA871,Early Childhood Education and Care,190,
597,GA872,Culture and Environment,196,
598,GA879,Applied Social Care,244,
599,GA880,General Nursing,429,422
600,GA882,Psychiatric Nursing,367,
601,GA885,Outdoor Education,252,
602,GA887,History and Geography,244,
603,GA889,Applied Social Care,266,
604,GA890,Early Childhood Education and Care,270,
605,GA891,Geography and Outdoor Education,244,
606,GA974,"Furniture Design, Making and Technology - Common Entry",214,
607,GA980,Education (Design Graphics and Construction),377,
608,GA984,"Furniture Design, Making and Technology - Common Entry",284,
609,GB001,Business,,
610,GC200,Business Studies,252,252
611,GC201,Accounting and Finance,303,303
612,GC230,Computing Science,335,325
613,GC250,Communications and Media Production,,
614,GC300,Business Studies,429,
615,GC301,Accounting & Finance,253,253
616,GC302,Business Studies - HRM,,
617,GC305,International Hospitality Management,253,253
618,GC306,International Hospitality Management,253,253
619,GC335,Computing,217,195
620,GC400,Business Studies,248,248
621,GC401,Accounting and Finance,240,227
622,GC402,Business Studies (HRM),264,236
623,GC403,Law,244,228
624,GC407,Business Studies (Marketing),280,280
625,GC410,Marketing,145,
626,GC411,Business,135,135
627,GC430,Computing Science,252,220
628,GC435,Computing,AQA,AQA
629,GC450,Communications and Media Production,254,254
630,GC460,Music Production for Games (portfolio),,
631,GC462,Design Communication (portfolio),,
632,GC465,Communications,AQA,
633,GC466,Film and TV Production,AQA,AQA
634,GC470,Photographic Media,169,169
635,GC475,Photography,150,150
636,GC489,Interior Architecture (portfolio),254,
637,GC490,Interior Design,117,117
638,GC494,Fashion Design (portfolio),337,217
639,GC495,Fashion,129,129
640,GY101,Arts (Joint-Honours),300,
641,GY104,Arts (Psychology),523,520
642,GY105,Arts (History),301,
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,
644,GY109,Arts (Mathematics and Education),403,
645,GY110,Arts with Children`s Studies,357,
646,GY111,Arts with Creative Writing,330,
647,GY112,Arts with Film Studies,321,
648,GY113,Arts with Human Rights,368,
649,GY115,Arts with Performing Arts Studies,387,
650,GY118,"Arts (Drama, Theatre and Performance Studies)",451,
651,GY119,Arts (Journalism),400,
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,
653,GY121,Arts (Children`s Studies),356,
654,GY122,Na Dána (Cumarsáid agus Gaeilge),361,
655,GY123,Applied Social Sciences,358,
656,GY124,Arts (Arts with Data Science),454,
657,GY125,Arts (Digital Arts and Technology),328,
658,GY126,Arts (English and Media Studies),391,
659,GY127,Arts (Film and Digital Media),401,
660,GY128,Arts (Global Languages),352,
661,GY129,Arts (International),420,
662,GY130,Arts (Music),408,
663,GY131,Arts (History and Globalisation Studies),360,
664,GY132,"Government (Politics, Economics and Law)",407,
665,GY133,Education (Computer Science and Mathematical Studies),422,
666,GY134,Geography and Geosystems,410,
667,GY201,Commerce,433,
668,GY202,Commerce (International) with French,484,
669,GY203,Commerce (International) with German,489,
670,GY204,Commerce (International) with Spanish,495,
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,
